event_time,cmgr,date,close_price
2023-04-28 23:51:38.13,-5.0270815,2/1/2021,87.66
2024-04-20 08:29:04.220,-5.0270815,1/5/2021,92.769997
2024-04-20 08:29:04.220,-5.0270815,1/6/2021,90.330002
2024-04-20 08:29:04.220,-5.0270815,1/7/2021,95.160004
2024-04-20 08:29:04.220,-5.0270815,1/8/2021,94.580002
2024-04-20 08:29:04.220,-5.0270815,1/11/2021,97.25
2024-04-20 08:29:04.220,-5.0270815,1/12/2021,95.360001
2024-04-20 08:29:04.220,-5.0270815,1/13/2021,91.779999
2024-04-20 08:29:04.220,-5.0270815,1/14/2021,90.790001
2024-04-20 08:29:04.220,-5.0270815,1/15/2021,88.209999
2024-04-20 08:29:04.220,-5.0270815,1/19/2021,89.449997
2024-04-20 08:29:04.220,-5.0270815,1/20/2021,88.75
2024-04-20 08:29:04.220,-5.0270815,1/21/2021,91.529999
2024-04-20 08:29:04.220,-5.0270815,1/22/2021,92.790001
2024-04-20 08:29:04.220,-5.0270815,1/25/2021,94.129997
2024-04-20 08:29:04.220,-5.0270815,1/26/2021,94.709999
2024-04-20 08:29:04.220,-5.0270815,1/27/2021,88.839996
2024-04-20 08:29:04.220,-5.0270815,1/28/2021,87.519997
2024-04-20 08:29:04.220,-5.0270815,1/29/2021,85.639999
2024-04-20 08:29:04.220,-5.0270815,2/1/2021,87.660004
2024-04-20 08:29:04.220,-5.0270815,2/2/2021,88.860001
2024-04-20 08:29:04.220,-5.0270815,2/3/2021,87.889999
2024-04-20 08:29:04.220,-5.0270815,2/4/2021,87.839996
2024-04-20 08:29:04.220,-5.0270815,2/5/2021,87.900002
2024-04-20 08:29:04.220,-5.0270815,2/8/2021,91.470001
2024-04-20 08:29:04.220,-5.0270815,2/9/2021,90.910004
2024-04-20 08:29:04.220,-5.0270815,2/10/2021,92.349998
2024-04-20 08:29:04.220,-5.0270815,2/11/2021,92.660004
2024-04-20 08:29:04.220,-5.0270815,2/12/2021,93.769997
2024-04-20 08:29:04.220,-5.0270815,2/16/2021,91.459999
2024-04-20 08:29:04.220,-5.0270815,2/17/2021,89.940002
2024-04-20 08:29:04.220,-5.0270815,2/18/2021,88.639999
2024-04-20 08:29:04.220,-5.0270815,2/19/2021,89.580002
2024-04-20 08:29:04.220,-5.0270815,2/22/2021,85.370003
2024-04-20 08:29:04.220,-5.0270815,2/23/2021,84.739998
2024-04-20 08:29:04.220,-5.0270815,2/24/2021,86.940002
2024-04-20 08:29:04.220,-5.0270815,2/25/2021,82.419998
2024-04-20 08:29:04.220,-5.0270815,2/26/2021,84.510002
2024-04-20 08:29:04.220,-5.0270815,3/1/2021,86.389999
2024-04-20 08:29:04.220,-5.0270815,3/2/2021,84.129997
2024-04-20 08:29:04.220,-5.0270815,3/3/2021,80.860001
2024-04-20 08:29:04.220,-5.0270815,3/4/2021,77.75
2024-04-20 08:29:04.220,-5.0270815,3/5/2021,78.519997
2024-04-20 08:29:04.220,-5.0270815,3/8/2021,73.959999
2024-04-20 08:29:04.220,-5.0270815,3/9/2021,78.529999
2024-04-20 08:29:04.220,-5.0270815,3/10/2021,77.519997
2024-04-20 08:29:04.220,-5.0270815,3/11/2021,81.230003
2024-04-20 08:29:04.220,-5.0270815,3/12/2021,81.050003
2024-04-20 08:29:04.220,-5.0270815,3/15/2021,82.5
2024-04-20 08:29:04.220,-5.0270815,3/16/2021,82.75
2024-04-20 08:29:04.220,-5.0270815,3/17/2021,82.629997
2024-04-20 08:29:04.220,-5.0270815,3/18/2021,78.120003
2024-04-20 08:29:04.220,-5.0270815,3/19/2021,79.059998
2024-04-20 08:29:04.220,-5.0270815,3/22/2021,80.300003
2024-04-20 08:29:04.220,-5.0270815,3/23/2021,78.379997
2024-04-20 08:29:04.220,-5.0270815,3/24/2021,76.480003
2024-04-20 08:29:04.220,-5.0270815,3/25/2021,76.220001
2024-04-20 08:29:04.220,-5.0270815,3/26/2021,77.410004
2024-04-20 08:29:04.220,-5.0270815,3/29/2021,77.139999
2024-04-20 08:29:04.220,-5.0270815,3/30/2021,76.0
2024-04-20 08:29:04.220,-5.0270815,3/31/2021,78.5
2024-04-20 08:29:04.220,-5.0270815,4/1/2021,81.089996
2024-04-20 08:29:04.220,-5.0270815,4/5/2021,81.43
2024-04-20 08:29:04.220,-5.0270815,4/6/2021,81.440002
2024-04-20 08:29:04.220,-5.0270815,4/7/2021,82.199997
2024-04-20 08:29:04.220,-5.0270815,4/8/2021,83.349998
2024-04-20 08:29:04.220,-5.0270815,4/9/2021,82.760002
2024-04-20 08:29:04.220,-5.0270815,4/12/2021,78.580002
2024-04-20 08:29:04.220,-5.0270815,4/13/2021,80.190002
2024-04-20 08:29:04.220,-5.0270815,4/14/2021,78.550003
2024-04-20 08:29:04.220,-5.0270815,4/15/2021,83.010002
2024-04-20 08:29:04.220,-5.0270815,4/16/2021,82.150002
2024-04-20 08:29:04.220,-5.0270815,4/19/2021,81.110001
2024-04-20 08:29:04.220,-5.0270815,4/20/2021,79.269997
2024-04-20 08:29:04.220,-5.0270815,4/21/2021,81.610001
2024-04-20 08:29:04.220,-5.0270815,4/22/2021,79.059998
2024-04-20 08:29:04.220,-5.0270815,4/23/2021,82.760002
2024-04-20 08:29:04.220,-5.0270815,4/26/2021,85.410004
2024-04-20 08:29:04.220,-5.0270815,4/27/2021,85.209999
2024-04-20 08:29:04.220,-5.0270815,4/28/2021,84.019997
2024-04-20 08:29:04.220,-5.0270815,4/29/2021,83.910004
2024-04-20 08:29:04.220,-5.0270815,4/30/2021,81.620003
2024-04-20 08:29:04.220,-5.0270815,5/3/2021,78.550003
2024-04-20 08:29:04.220,-5.0270815,5/4/2021,78.610001
2024-04-20 08:29:04.220,-5.0270815,5/5/2021,77.830002
2024-04-20 08:29:04.220,-5.0270815,5/6/2021,77.889999
2024-04-20 08:29:04.220,-5.0270815,5/7/2021,78.809998
2024-04-20 08:29:04.220,-5.0270815,5/10/2021,75.989998
2024-04-20 08:29:04.220,-5.0270815,5/11/2021,76.830002
2024-04-20 08:29:04.220,-5.0270815,5/12/2021,74.639999
2024-04-20 08:29:04.220,-5.0270815,5/13/2021,73.089996
2024-04-20 08:29:04.220,-5.0270815,5/14/2021,74.589996
2024-04-20 08:29:04.220,-5.0270815,5/17/2021,74.650002
2024-04-20 08:29:04.220,-5.0270815,5/18/2021,74.440002
2024-04-20 08:29:04.220,-5.0270815,5/19/2021,76.230003
2024-04-20 08:29:04.220,-5.0270815,5/20/2021,78.059998
2024-04-20 08:29:04.220,-5.0270815,5/21/2021,77.169998
2024-04-20 08:29:04.220,-5.0270815,5/24/2021,77.440002
2024-04-20 08:29:04.220,-5.0270815,5/25/2021,77.860001
2024-04-20 08:29:04.220,-5.0270815,5/26/2021,78.339996
2024-04-20 08:29:04.220,-5.0270815,5/27/2021,78.419998
2024-04-20 08:29:04.220,-5.0270815,5/28/2021,80.080002
2024-04-20 08:29:04.220,-5.0270815,6/1/2021,80.809998
2024-04-20 08:29:04.220,-5.0270815,6/2/2021,81.970001
2024-04-20 08:29:04.220,-5.0270815,6/3/2021,80.279999
2024-04-20 08:29:04.220,-5.0270815,6/4/2021,81.580002
2024-04-20 08:29:04.220,-5.0270815,6/7/2021,81.349998
2024-04-20 08:29:04.220,-5.0270815,6/8/2021,80.889999
2024-04-20 08:29:04.220,-5.0270815,6/9/2021,79.959999
2024-04-20 08:29:04.220,-5.0270815,6/10/2021,81.559998
2024-04-20 08:29:04.220,-5.0270815,6/11/2021,81.309998
2024-04-20 08:29:04.220,-5.0270815,6/14/2021,81.550003
2024-04-20 08:29:04.220,-5.0270815,6/15/2021,80.470001
2024-04-20 08:29:04.220,-5.0270815,6/16/2021,80.110001
2024-04-20 08:29:04.220,-5.0270815,6/17/2021,84.559998
2024-04-20 08:29:04.220,-5.0270815,6/18/2021,84.650002
2024-04-20 08:29:04.220,-5.0270815,6/21/2021,82.589996
2024-04-20 08:29:04.220,-5.0270815,6/22/2021,83.580002
2024-04-20 08:29:04.220,-5.0270815,6/23/2021,83.82
2024-04-20 08:29:04.220,-5.0270815,6/24/2021,86.099998
2024-04-20 08:29:04.220,-5.0270815,6/25/2021,85.620003
2024-04-20 08:29:04.220,-5.0270815,6/28/2021,87.080002
2024-04-20 08:29:04.220,-5.0270815,6/29/2021,89.519997
2024-04-20 08:29:04.220,-5.0270815,6/30/2021,93.93
2024-04-20 08:29:04.220,-5.0270815,7/1/2021,93.309998
2024-04-20 08:29:04.220,-5.0270815,7/2/2021,94.699997
2024-04-20 08:29:04.220,-5.0270815,7/6/2021,94.470001
2024-04-20 08:29:04.220,-5.0270815,7/7/2021,90.540001
2024-04-20 08:29:04.220,-5.0270815,7/8/2021,89.739998
2024-04-20 08:29:04.220,-5.0270815,7/9/2021,90.900002
2024-04-20 08:29:04.220,-5.0270815,7/12/2021,90.809998
2024-04-20 08:29:04.220,-5.0270815,7/13/2021,90.260002
2024-04-20 08:29:04.220,-5.0270815,7/14/2021,89.050003
2024-04-20 08:29:04.220,-5.0270815,7/15/2021,86.93
2024-04-20 08:29:04.220,-5.0270815,7/16/2021,85.889999
2024-04-20 08:29:04.220,-5.0270815,7/19/2021,86.580002
2024-04-20 08:29:04.220,-5.0270815,7/20/2021,87.110001
2024-04-20 08:29:04.220,-5.0270815,7/21/2021,89.410004
2024-04-20 08:29:04.220,-5.0270815,7/22/2021,91.209999
2024-04-20 08:29:04.220,-5.0270815,7/23/2021,92.150002
2024-04-20 08:29:04.220,-5.0270815,7/26/2021,91.82
2024-04-20 08:29:04.220,-5.0270815,7/27/2021,91.029999
2024-04-20 08:29:04.220,-5.0270815,7/28/2021,97.93
2024-04-20 08:29:04.220,-5.0270815,7/29/2021,102.949997
2024-04-20 08:29:04.220,-5.0270815,7/30/2021,106.190002
2024-04-20 08:29:04.220,-5.0270815,8/2/2021,108.629997
2024-04-20 08:29:04.220,-5.0270815,8/3/2021,112.559998
2024-04-20 08:29:04.220,-5.0270815,8/4/2021,118.769997
2024-04-20 08:29:04.220,-5.0270815,8/5/2021,112.349998
2024-04-20 08:29:04.220,-5.0270815,8/6/2021,110.110001
2024-04-20 08:29:04.220,-5.0270815,8/9/2021,107.580002
2024-04-20 08:29:04.220,-5.0270815,8/10/2021,106.480003
2024-04-20 08:29:04.220,-5.0270815,8/11/2021,107.68
2024-04-20 08:29:04.220,-5.0270815,8/12/2021,106.5
2024-04-20 08:29:04.220,-5.0270815,8/13/2021,110.550003
2024-04-20 08:29:04.220,-5.0270815,8/16/2021,107.480003
2024-04-20 08:29:04.220,-5.0270815,8/17/2021,107.559998
2024-04-20 08:29:04.220,-5.0270815,8/18/2021,103.440002
2024-04-20 08:29:04.220,-5.0270815,8/19/2021,103.699997
2024-04-20 08:29:04.220,-5.0270815,8/20/2021,104.650002
2024-04-20 08:29:04.220,-5.0270815,8/23/2021,108.769997
2024-04-20 08:29:04.220,-5.0270815,8/24/2021,107.650002
2024-04-20 08:29:04.220,-5.0270815,8/25/2021,108.300003
